userName;score;at;content;CaseFolding;Cleaning;Tokenizing;Formalisasi;WithoutStopwords;Stemming;Label
Pengguna Google;5;2026-01-01 10:27:14;"sudah Tidak aktif..masih aja di tagih tiap bulan... tidak bisa merubah data faskes... harus nya nunggu setahun baru bisa rubah...memeras rakyat... kasih jalan lah buat rubah nya..Krn terkendala salah pilih faskes alias ke pencet;";"sudah tidak aktif..masih aja di tagih tiap bulan... tidak bisa merubah data faskes... harus nya nunggu setahun baru bisa rubah...memeras rakyat... kasih jalan lah buat rubah nya..krn terkendala salah pilih faskes alias ke pencet;";sudah Tidak aktif masih aja di tagih tiap bulan tidak bisa merubah data faskes harus nya nunggu setahun baru bisa rubah memeras rakyat kasih jalan lah buat rubah nya Krn terkendala salah pilih faskes alias ke pencet;['sudah', 'Tidak', 'aktif', 'masih', 'aja', 'di', 'tagih', 'tiap', 'bulan', 'tidak', 'bisa', 'merubah', 'data', 'faskes', 'harus', 'nya', 'nunggu', 'setahun', 'baru', 'bisa', 'rubah', 'memeras', 'rakyat', 'kasih', 'jalan', 'lah', 'buat', 'rubah', 'nya', 'Krn', 'terkendala', 'salah', 'pilih', 'faskes', 'alias', 'ke', 'pencet'];['sudah', 'Tidak', 'aktif', 'masih', 'saja', 'di', 'tagih', 'tiap', 'bulan', 'tidak', 'bisa', 'merubah', 'data', 'faskes', 'harus', 'nya', 'nunggu', 'setahun', 'baru', 'bisa', 'rubah', 'memeras', 'rakyat', 'kasih', 'jalan', 'lah', 'buat', 'rubah', 'nya', 'Krn', 'terkendala', 'salah', 'pilih', 'faskes', 'alias', 'ke', 'pencet'];['Tidak', 'aktif', 'aja', 'tagih', 'merubah', 'data', 'faskes', 'nya', 'nunggu', 'setahun', 'rubah', 'memeras', 'rakyat', 'kasih', 'jalan', 'rubah', 'nya', 'Krn', 'terkendala', 'salah', 'pilih', 'faskes', 'alias', 'pencet'];['tidak', 'aktif', 'aja', 'tagih', 'rubah', 'data', 'faskes', 'nya', 'nunggu', 'tahun', 'rubah', 'peras', 'rakyat', 'kasih', 'jalan', 'rubah', 'nya', 'krn', 'kendala', 'salah', 'pilih', 'faskes', 'alias', 'pencet'];Negatif
Pengguna Google;5;2026-01-03 12:07:28;"perubahan data fast respon;";"perubahan data fast respon;";perubahan data fast respon;['perubahan', 'data', 'fast', 'respon'];['perubahan', 'data', 'fast', 'respon'];['perubahan', 'data', 'fast', 'respon'];['ubah', 'data', 'fast', 'respon'];Netral
Pengguna Google;4;2026-01-04 13:15:07;"b ajah;";"b ajah;";b ajah;['b', 'ajah'];['b', 'ajah'];['b', 'ajah'];['b', 'ajah'];Netral
Septian Bassanya;1;2025-12-22 01:27:57;"tidak bisa update nomor hape pilihan verifikasinya tidak keluar hanya tulisan suruh pilih layar putih saja. nomor hape saya ada yang ngedit tapi salah ketik;";"tidak bisa update nomor hape pilihan verifikasinya tidak keluar hanya tulisan suruh pilih layar putih saja. nomor hape saya ada yang ngedit tapi salah ketik;";tidak bisa update nomor hape pilihan verifikasinya tidak keluar hanya tulisan suruh pilih layar putih saja nomor hape saya ada yang ngedit tapi salah ketik;['tidak', 'bisa', 'update', 'nomor', 'hape', 'pilihan', 'verifikasinya', 'tidak', 'keluar', 'hanya', 'tulisan', 'suruh', 'pilih', 'layar', 'putih', 'saja', 'nomor', 'hape', 'saya', 'ada', 'yang', 'ngedit', 'tapi', 'salah', 'ketik'];['tidak', 'bisa', 'update', 'nomor', 'hape', 'pilihan', 'verifikasinya', 'tidak', 'keluar', 'hanya', 'tulisan', 'suruh', 'pilih', 'layar', 'putih', 'saja', 'nomor', 'hape', 'saya', 'ada', 'yang', 'ngedit', 'tapi', 'salah', 'ketik'];['update', 'nomor', 'hape', 'pilihan', 'verifikasinya', 'tulisan', 'suruh', 'pilih', 'layar', 'putih', 'nomor', 'hape', 'ngedit', 'salah', 'ketik'];['update', 'nomor', 'hape', 'pilih', 'verifikasi', 'tulis', 'suruh', 'pilih', 'layar', 'putih', 'nomor', 'hape', 'ngedit', 'salah', 'ketik'];Negatif
Pengguna Google;5;2026-01-17 15:24:16;"Bagus;";"bagus;";Bagus;['Bagus'];['Bagus'];['Bagus'];['bagus'];Positif
Pengguna Google;5;2026-01-10 01:26:41;"Dengan adanya mobile jkn dapat memudahkan saya trmksh;";"dengan adanya mobile jkn dapat memudahkan saya trmksh;";Dengan adanya mobile jkn dapat memudahkan saya trmksh;['Dengan', 'adanya', 'mobile', 'jkn', 'dapat', 'memudahkan', 'saya', 'trmksh'];['Dengan', 'adanya', 'mobile', 'jkn', 'dapat', 'memudahkan', 'saya', 'trmksh'];['Dengan', 'mobile', 'jkn', 'memudahkan', 'trmksh'];['dengan', 'mobile', 'jkn', 'mudah', 'trmksh'];Positif
Pengguna Google;5;2026-01-11 17:16:24;"Bereh...;";"bereh...;";Bereh;['Bereh'];['Bereh'];['Bereh'];['bereh'];Netral
Pengguna Google;5;2026-01-07 17:36:59;"sangat membantu aplikasi jkn;";"sangat membantu aplikasi jkn;";sangat membantu aplikasi jkn;['sangat', 'membantu', 'aplikasi', 'jkn'];['sangat', 'membantu', 'aplikasi', 'jkn'];['membantu', 'aplikasi', 'jkn'];['bantu', 'aplikasi', 'jkn'];Positif
Pengguna Google;5;2026-01-20 03:02:37;"sederhana cepat mantab;";"sederhana cepat mantab;";sederhana cepat mantab;['sederhana', 'cepat', 'mantab'];['sederhana', 'cepat', 'mantab'];['sederhana', 'cepat', 'mantab'];['sederhana', 'cepat', 'mantab'];Positif
Pengguna Google;1;2026-01-19 14:25:45;"hp hilang pasword lupa.trus log in nya gimana?;";"hp hilang pasword lupa.trus log in nya gimana?;";hp hilang pasword lupa trus log in nya gimana;['hp', 'hilang', 'pasword', 'lupa', 'trus', 'log', 'in', 'nya', 'gimana'];['hp', 'hilang', 'pasword', 'lupa', 'trus', 'log', 'in', 'nya', 'gimana'];['hp', 'hilang', 'pasword', 'lupa', 'trus', 'log', 'in', 'nya', 'gimana'];['hp', 'hilang', 'pasword', 'lupa', 'trus', 'log', 'in', 'nya', 'gimana'];Netral
Chairul Mustafid;5;2025-12-22 15:25:41;"ok;";"ok;";ok;['ok'];['oke'];['ok'];['ok'];Netral
Dwi Wedha;5;2025-12-21 01:18:38;"bagus;";"bagus;";bagus;['bagus'];['bagus'];['bagus'];['bagus'];Positif
Pengguna Google;5;2026-01-23 07:59:50;"sangat membantu dan memudahkan;";"sangat membantu dan memudahkan;";sangat membantu dan memudahkan;['sangat', 'membantu', 'dan', 'memudahkan'];['sangat', 'membantu', 'dan', 'memudahkan'];['membantu', 'memudahkan'];['bantu', 'mudah'];Positif
Dianto Sitepu;5;2025-12-21 01:59:32;"sangat membatu;";"sangat membatu;";sangat membatu;['sangat', 'membatu'];['sangat', 'membatu'];['membatu'];['batu'];Netral
Pengguna Google;5;2026-01-17 04:27:30;"sangat mudah;";"sangat mudah;";sangat mudah;['sangat', 'mudah'];['sangat', 'mudah'];['mudah'];['mudah'];Positif
Pengguna Google;1;2026-01-15 02:39:46;"ribet..udah ribet ngurusnya...ga selesai juga;";"ribet..udah ribet ngurusnya...ga selesai juga;";ribet udah ribet ngurusnya ga selesai juga;['ribet', 'udah', 'ribet', 'ngurusnya', 'ga', 'selesai', 'juga'];['ribet', 'sudah', 'ribet', 'ngurusnya', 'ga', 'selesai', 'juga'];['ribet', 'udah', 'ribet', 'ngurusnya', 'ga', 'selesai'];['ribet', 'udah', 'ribet', 'ngurusnya', 'ga', 'selesai'];Negatif
Pengguna Google;4;2026-01-24 09:29:54;"sudah lebih baik;";"sudah lebih baik;";sudah lebih baik;['sudah', 'lebih', 'baik'];['sudah', 'lebih', 'baik'];[];[];Positif
Pengguna Google;4;2025-12-29 17:52:29;"baik;";"baik;";baik;['baik'];['baik'];[];[];Positif
Mama;2;2025-12-19 09:53:57;"masukkan no telpon sangat lah susah dpt verifikasi nya..;";"masukkan no telpon sangat lah susah dpt verifikasi nya..;";masukkan no telpon sangat lah susah dpt verifikasi nya;['masukkan', 'no', 'telpon', 'sangat', 'lah', 'susah', 'dpt', 'verifikasi', 'nya'];['masukkan', 'no', 'telpon', 'sangat', 'lah', 'susah', 'dapat', 'verifikasi', 'nya'];['masukkan', 'no', 'telpon', 'susah', 'dpt', 'verifikasi', 'nya'];['masuk', 'no', 'telpon', 'susah', 'dpt', 'verifikasi', 'nya'];Negatif
Rahman Nadi;5;2025-12-23 06:52:36;"sangat membantu;";"sangat membantu;";sangat membantu;['sangat', 'membantu'];['sangat', 'membantu'];['membantu'];['bantu'];Positif
Riki Isnandar;5;2025-12-26 13:33:13;"sangat bermanfaat;";"sangat bermanfaat;";sangat bermanfaat;['sangat', 'bermanfaat'];['sangat', 'bermanfaat'];['bermanfaat'];['manfaat'];Netral
Pengguna Google;5;2026-01-17 04:45:22;"mudah mengaplikasiin nya;";"mudah mengaplikasiin nya;";mudah mengaplikasiin nya;['mudah', 'mengaplikasiin', 'nya'];['mudah', 'mengaplikasiin', 'nya'];['mudah', 'mengaplikasiin', 'nya'];['mudah', 'mengaplikasiin', 'nya'];Positif
Pengguna Google;5;2026-01-15 13:10:30;"sangat membantu;";"sangat membantu;";sangat membantu;['sangat', 'membantu'];['sangat', 'membantu'];['membantu'];['bantu'];Positif
Pengguna Google;5;2026-01-05 08:30:01;"jos gandos;";"jos gandos;";jos gandos;['jos', 'gandos'];['jos', 'gandos'];['jos', 'gandos'];['jos', 'gandos'];Netral
Farid Za;5;2025-12-22 14:30:09;"sangat membantu;";"sangat membantu;";sangat membantu;['sangat', 'membantu'];['sangat', 'membantu'];['membantu'];['bantu'];Positif
Ilham saputra S pd;5;2025-12-21 23:51:04;"Alhamdulillah;";"alhamdulillah;";Alhamdulillah;['Alhamdulillah'];['Alhamdulillah'];['Alhamdulillah'];['alhamdulillah'];Netral
Pengguna Google;5;2026-01-19 01:27:02;"oke;";"oke;";oke;['oke'];['oke'];['oke'];['oke'];Positif
Pengguna Google;5;2026-01-15 11:17:30;"sangat membantu mempermudah;";"sangat membantu mempermudah;";sangat membantu mempermudah;['sangat', 'membantu', 'mempermudah'];['sangat', 'membantu', 'mempermudah'];['membantu', 'mempermudah'];['bantu', 'mudah'];Positif
Pengguna Google;2;2026-01-08 04:17:14;"mau daftar selalu tidak biasa waktu verifikasi wajah lama sekali;";"mau daftar selalu tidak biasa waktu verifikasi wajah lama sekali;";mau daftar selalu tidak biasa waktu verifikasi wajah lama sekali;['mau', 'daftar', 'selalu', 'tidak', 'biasa', 'waktu', 'verifikasi', 'wajah', 'lama', 'sekali'];['mau', 'daftar', 'selalu', 'tidak', 'biasa', 'waktu', 'verifikasi', 'wajah', 'lama', 'sekali'];['daftar', 'verifikasi', 'wajah'];['daftar', 'verifikasi', 'wajah'];Negatif
Pengguna Google;1;2026-01-15 17:27:11;"aplikasi tidak berguna verif muka berjam² tdk bisa;";"aplikasi tidak berguna verif muka berjam² tdk bisa;";aplikasi tidak berguna verif muka berjam tdk bisa;['aplikasi', 'tidak', 'berguna', 'verif', 'muka', 'berjam', 'tdk', 'bisa'];['aplikasi', 'tidak', 'berguna', 'verif', 'muka', 'berjam', 'tidak', 'bisa'];['aplikasi', 'berguna', 'verif', 'muka', 'berjam', 'tdk'];['aplikasi', 'guna', 'verif', 'muka', 'jam', 'tdk'];Negatif
Pengguna Google;5;2026-01-07 03:13:57;"sangat memuaskan pelayanan nya trima kasih bpjs;";"sangat memuaskan pelayanan nya trima kasih bpjs;";sangat memuaskan pelayanan nya trima kasih bpjs;['sangat', 'memuaskan', 'pelayanan', 'nya', 'trima', 'kasih', 'bpjs'];['sangat', 'memuaskan', 'pelayanan', 'nya', 'trima', 'kasih', 'bpjs'];['memuaskan', 'pelayanan', 'nya', 'trima', 'kasih', 'bpjs'];['muas', 'layan', 'nya', 'trima', 'kasih', 'bpjs'];Netral
Pengguna Google;5;2026-01-13 05:15:28;"Bagus Karena bisa lihat nomor bpjs istri sekaligus anak kalau aktif atau tidak;";"bagus karena bisa lihat nomor bpjs istri sekaligus anak kalau aktif atau tidak;";Bagus Karena bisa lihat nomor bpjs istri sekaligus anak kalau aktif atau tidak;['Bagus', 'Karena', 'bisa', 'lihat', 'nomor', 'bpjs', 'istri', 'sekaligus', 'anak', 'kalau', 'aktif', 'atau', 'tidak'];['Bagus', 'Karena', 'bisa', 'lihat', 'nomor', 'bpjs', 'istri', 'sekaligus', 'anak', 'kalau', 'aktif', 'atau', 'tidak'];['Bagus', 'Karena', 'lihat', 'nomor', 'bpjs', 'istri', 'anak', 'aktif'];['bagus', 'karena', 'lihat', 'nomor', 'bpjs', 'istri', 'anak', 'aktif'];Netral
Pengguna Google;5;2026-01-20 08:43:24;"sangat membatu;";"sangat membatu;";sangat membatu;['sangat', 'membatu'];['sangat', 'membatu'];['membatu'];['batu'];Netral
Galih Eka;5;2025-12-29 06:44:36;"bagus;";"bagus;";bagus;['bagus'];['bagus'];['bagus'];['bagus'];Positif
Pengguna Google;5;2026-01-09 03:08:57;"memudahkan untuk melakukan cek kesehatan;";"memudahkan untuk melakukan cek kesehatan;";memudahkan untuk melakukan cek kesehatan;['memudahkan', 'untuk', 'melakukan', 'cek', 'kesehatan'];['memudahkan', 'untuk', 'melakukan', 'cek', 'kesehatan'];['memudahkan', 'cek', 'kesehatan'];['mudah', 'cek', 'sehat'];Positif
dede mustopa;5;2025-12-23 05:15:53;"bermanfaat untuk banyak orang;";"bermanfaat untuk banyak orang;";bermanfaat untuk banyak orang;['bermanfaat', 'untuk', 'banyak', 'orang'];['bermanfaat', 'untuk', 'banyak', 'orang'];['bermanfaat', 'orang'];['manfaat', 'orang'];Netral
Pengguna Google;1;2026-01-17 06:43:44;"Ini gimana ya mau daftar antrean terus di suruh verifikasi tapi disuruh milih verifikasi lewat apa ga ada keterangannya;";"ini gimana ya mau daftar antrean terus di suruh verifikasi tapi disuruh milih verifikasi lewat apa ga ada keterangannya;";Ini gimana ya mau daftar antrean terus di suruh verifikasi tapi disuruh milih verifikasi lewat apa ga ada keterangannya;['Ini', 'gimana', 'ya', 'mau', 'daftar', 'antrean', 'terus', 'di', 'suruh', 'verifikasi', 'tapi', 'disuruh', 'milih', 'verifikasi', 'lewat', 'apa', 'ga', 'ada', 'keterangannya'];['Ini', 'gimana', 'ya', 'mau', 'daftar', 'antrean', 'terus', 'di', 'suruh', 'verifikasi', 'tapi', 'disuruh', 'milih', 'verifikasi', 'lewat', 'apa', 'ga', 'ada', 'keterangannya'];['Ini', 'gimana', 'ya', 'daftar', 'antrean', 'suruh', 'verifikasi', 'disuruh', 'milih', 'verifikasi', 'ga', 'keterangannya'];['ini', 'gimana', 'ya', 'daftar', 'antre', 'suruh', 'verifikasi', 'suruh', 'milih', 'verifikasi', 'ga', 'terang'];Netral
Pengguna Google;1;2026-01-19 04:15:12;"kesulitan mengambil antrian;";"kesulitan mengambil antrian;";kesulitan mengambil antrian;['kesulitan', 'mengambil', 'antrian'];['kesulitan', 'mengambil', 'antrian'];['kesulitan', 'mengambil', 'antrian'];['sulit', 'ambil', 'antri'];Netral
Mila Utari;5;2025-12-23 06:34:02;"aplikasi yg update cukup cepat;";"aplikasi yg update cukup cepat;";aplikasi yg update cukup cepat;['aplikasi', 'yg', 'update', 'cukup', 'cepat'];['aplikasi', 'yang', 'update', 'cukup', 'cepat'];['aplikasi', 'update', 'cepat'];['aplikasi', 'update', 'cepat'];Positif
Risal Bakri;5;2025-12-20 08:39:33;"harap dibuka izin tangkap layar. dokter &/ asistennya sering minta kirimkan bukti daftar;";"harap dibuka izin tangkap layar. dokter &/ asistennya sering minta kirimkan bukti daftar;";harap dibuka izin tangkap layar dokter & asistennya sering minta kirimkan bukti daftar;['harap', 'dibuka', 'izin', 'tangkap', 'layar', 'dokter', '&', 'asistennya', 'sering', 'minta', 'kirimkan', 'bukti', 'daftar'];['harap', 'dibuka', 'izin', 'tangkap', 'layar', 'dokter', '&', 'asistennya', 'sering', 'meminta', 'kirimkan', 'bukti', 'daftar'];['harap', 'dibuka', 'izin', 'tangkap', 'layar', 'dokter', '&', 'asistennya', 'kirimkan', 'bukti', 'daftar'];['harap', 'buka', 'izin', 'tangkap', 'layar', 'dokter', '', 'asisten', 'kirim', 'bukti', 'daftar'];Netral
Pengguna Google;5;2026-01-18 15:05:45;"jjjooss gandos;";"jjjooss gandos;";jooss gandos;['jooss', 'gandos'];['jooss', 'gandos'];['jooss', 'gandos'];['jooss', 'gandos'];Netral
Pengguna Google;5;2026-01-07 06:10:27;"bagus dan sangat bermanfaat;";"bagus dan sangat bermanfaat;";bagus dan sangat bermanfaat;['bagus', 'dan', 'sangat', 'bermanfaat'];['bagus', 'dan', 'sangat', 'bermanfaat'];['bagus', 'bermanfaat'];['bagus', 'manfaat'];Positif
Pengguna Google;3;2026-01-12 01:21:19;"surat rujukan susah dibuka;";"surat rujukan susah dibuka;";surat rujukan susah dibuka;['surat', 'rujukan', 'susah', 'dibuka'];['surat', 'rujukan', 'susah', 'dibuka'];['surat', 'rujukan', 'susah', 'dibuka'];['surat', 'rujuk', 'susah', 'buka'];Negatif
Pengguna Google;5;2026-01-02 11:24:37;"ok;";"ok;";ok;['ok'];['oke'];['ok'];['ok'];Netral
Pengguna Google;3;2026-01-20 15:59:30;"cepat d bagus gak ribet;";"cepat d bagus gak ribet;";cepat d bagus gak ribet;['cepat', 'd', 'bagus', 'gak', 'ribet'];['cepat', 'd', 'bagus', 'tidak', 'ribet'];['cepat', 'd', 'bagus', 'gak', 'ribet'];['cepat', 'd', 'bagus', 'gak', 'ribet'];Positif
Pengguna Google;5;2026-01-10 09:36:13;"sangat bagus;";"sangat bagus;";sangat bagus;['sangat', 'bagus'];['sangat', 'bagus'];['bagus'];['bagus'];Positif
Pengguna Google;5;2025-12-31 04:19:10;"sangat membantu;";"sangat membantu;";sangat membantu;['sangat', 'membantu'];['sangat', 'membantu'];['membantu'];['bantu'];Positif
Pengguna Google;5;2026-01-19 00:56:19;"Sangat Membantu dan Mudah;";"sangat membantu dan mudah;";Sangat Membantu dan Mudah;['Sangat', 'Membantu', 'dan', 'Mudah'];['Sangat', 'Membantu', 'dan', 'Mudah'];['Sangat', 'Membantu', 'Mudah'];['sangat', 'bantu', 'mudah'];Positif
Marwa Samida;5;2025-12-25 03:39:41;"dengan adanya Aplikasi ini membuat sya sekuarga dengan mudah dpat berobat ditanggung pemerintah dengan gratis;";"dengan adanya aplikasi ini membuat sya sekuarga dengan mudah dpat berobat ditanggung pemerintah dengan gratis;";dengan adanya Aplikasi ini membuat sya sekuarga dengan mudah dpat berobat ditanggung pemerintah dengan gratis;['dengan', 'adanya', 'Aplikasi', 'ini', 'membuat', 'sya', 'sekuarga', 'dengan', 'mudah', 'dpat', 'berobat', 'ditanggung', 'pemerintah', 'dengan', 'gratis'];['dengan', 'adanya', 'Aplikasi', 'ini', 'membuat', 'sya', 'sekuarga', 'dengan', 'mudah', 'dpat', 'berobat', 'ditanggung', 'pemerintah', 'dengan', 'gratis'];['Aplikasi', 'sya', 'sekuarga', 'mudah', 'dpat', 'berobat', 'ditanggung', 'pemerintah', 'gratis'];['aplikasi', 'sya', 'sekuarga', 'mudah', 'dpat', 'obat', 'tanggung', 'perintah', 'gratis'];Positif
Pengguna Google;1;2026-01-09 08:16:42;"apk gak jelas selalu trouble stiap mau minta faskes selalu gga bisa di proses;";"apk gak jelas selalu trouble stiap mau minta faskes selalu gga bisa di proses;";apk gak jelas selalu trouble stiap mau minta faskes selalu gga bisa di proses;['apk', 'gak', 'jelas', 'selalu', 'trouble', 'stiap', 'mau', 'minta', 'faskes', 'selalu', 'gga', 'bisa', 'di', 'proses'];['apk', 'tidak', 'jelas', 'selalu', 'trouble', 'stiap', 'mau', 'meminta', 'faskes', 'selalu', 'gga', 'bisa', 'di', 'proses'];['apk', 'gak', 'trouble', 'stiap', 'faskes', 'gga', 'proses'];['apk', 'gak', 'trouble', 'stiap', 'faskes', 'gga', 'proses'];Netral
Pengguna Google;5;2026-01-01 01:59:31;"sukses selalu;";"sukses selalu;";sukses selalu;['sukses', 'selalu'];['sukses', 'selalu'];['sukses'];['sukses'];Netral
Pengguna Google;5;2026-01-12 09:39:19;"mempermudah kita pakai bpjs meski di kota yg berbeda;";"mempermudah kita pakai bpjs meski di kota yg berbeda;";mempermudah kita pakai bpjs meski di kota yg berbeda;['mempermudah', 'kita', 'pakai', 'bpjs', 'meski', 'di', 'kota', 'yg', 'berbeda'];['mempermudah', 'kita', 'pakai', 'bpjs', 'meski', 'di', 'kota', 'yang', 'berbeda'];['mempermudah', 'pakai', 'bpjs', 'kota', 'berbeda'];['mudah', 'pakai', 'bpjs', 'kota', 'beda'];Positif
Pengguna Google;5;2026-01-18 18:00:04;"aplikasi yang sangat bagus;";"aplikasi yang sangat bagus;";aplikasi yang sangat bagus;['aplikasi', 'yang', 'sangat', 'bagus'];['aplikasi', 'yang', 'sangat', 'bagus'];['aplikasi', 'bagus'];['aplikasi', 'bagus'];Positif
Jamaludin;5;2025-12-21 10:48:53;"ok;";"ok;";ok;['ok'];['oke'];['ok'];['ok'];Netral
Pengguna Google;5;2026-01-16 08:51:00;"sangat membantu;";"sangat membantu;";sangat membantu;['sangat', 'membantu'];['sangat', 'membantu'];['membantu'];['bantu'];Positif
Pengguna Google;5;2026-01-24 08:59:49;"aplikasi yg sangat membantu;";"aplikasi yg sangat membantu;";aplikasi yg sangat membantu;['aplikasi', 'yg', 'sangat', 'membantu'];['aplikasi', 'yang', 'sangat', 'membantu'];['aplikasi', 'membantu'];['aplikasi', 'bantu'];Positif
Pengguna Google;5;2026-01-13 12:04:05;"mantap;";"mantap;";mantap;['mantap'];['mantap'];['mantap'];['mantap'];Positif
Pengguna Google;5;2026-01-22 06:48:40;"aplikasi ini sungguh membantu. terimakasih. 🙏🙏🙏;";"aplikasi ini sungguh membantu. terimakasih. 🙏🙏🙏;";aplikasi ini sungguh membantu terimakasih ;['aplikasi', 'ini', 'sungguh', 'membantu', 'terimakasih'];['aplikasi', 'ini', 'sungguh', 'membantu', 'terimakasih'];['aplikasi', 'sungguh', 'membantu', 'terimakasih'];['aplikasi', 'sungguh', 'bantu', 'terimakasih'];Positif
Pengguna Google;5;2026-01-07 06:36:34;"sangat membantu;";"sangat membantu;";sangat membantu;['sangat', 'membantu'];['sangat', 'membantu'];['membantu'];['bantu'];Positif
Pengguna Google;1;2026-01-15 07:06:44;"verivikasi wajah nya ribet lama sekali tida bisa langus sekali;";"verivikasi wajah nya ribet lama sekali tida bisa langus sekali;";verivikasi wajah nya ribet lama sekali tida bisa langus sekali;['verivikasi', 'wajah', 'nya', 'ribet', 'lama', 'sekali', 'tida', 'bisa', 'langus', 'sekali'];['verivikasi', 'wajah', 'nya', 'ribet', 'lama', 'sekali', 'tida', 'bisa', 'langus', 'sekali'];['verivikasi', 'wajah', 'nya', 'ribet', 'tida', 'langus'];['verivikasi', 'wajah', 'nya', 'ribet', 'tida', 'langus'];Negatif
Pengguna Google;5;2026-01-16 12:22:20;"sangat membantu;";"sangat membantu;";sangat membantu;['sangat', 'membantu'];['sangat', 'membantu'];['membantu'];['bantu'];Positif
sigit tri wiyono;5;2025-12-21 05:14:29;"oke;";"oke;";oke;['oke'];['oke'];['oke'];['oke'];Positif
Yuli Fatmawati;5;2025-12-29 12:10:47;"mntap;";"mntap;";mntap;['mntap'];['mntap'];['mntap'];['mntap'];Netral
Pengguna Google;5;2026-01-01 00:55:04;"mempermudah;";"mempermudah;";mempermudah;['mempermudah'];['mempermudah'];['mempermudah'];['mudah'];Positif
Pengguna Google;5;2026-01-14 17:30:45;"sngat membantu dlm pelayanan medis;";"sngat membantu dlm pelayanan medis;";sngat membantu dlm pelayanan medis;['sngat', 'membantu', 'dlm', 'pelayanan', 'medis'];['sngat', 'membantu', 'dlm', 'pelayanan', 'medis'];['sngat', 'membantu', 'dlm', 'pelayanan', 'medis'];['sngat', 'bantu', 'dlm', 'layan', 'medis'];Positif
Pengguna Google;3;2026-01-07 01:32:24;"pliss chat pandawa trs mau ngurus administrasii tapi kenapa tulisannya peningkatan trs dari semalem? soalnyaa urgent bgtttt niiii kaaaa mau ganti nomer hp buat ke rs 😭😭😭;";"pliss chat pandawa trs mau ngurus administrasii tapi kenapa tulisannya peningkatan trs dari semalem? soalnyaa urgent bgtttt niiii kaaaa mau ganti nomer hp buat ke rs 😭😭😭;";pliss chat pandawa trs mau ngurus administrasii tapi kenapa tulisannya peningkatan trs dari semalem soalnyaa urgent bgt ni ka mau ganti nomer hp buat ke rs ;['pliss', 'chat', 'pandawa', 'trs', 'mau', 'ngurus', 'administrasii', 'tapi', 'kenapa', 'tulisannya', 'peningkatan', 'trs', 'dari', 'semalem', 'soalnyaa', 'urgent', 'bgt', 'ni', 'ka', 'mau', 'ganti', 'nomer', 'hp', 'buat', 'ke', 'rs'];['pliss', 'chat', 'pandawa', 'terus', 'mau', 'ngurus', 'administrasii', 'tapi', 'kenapa', 'tulisannya', 'peningkatan', 'terus', 'dari', 'semalem', 'soalnyaa', 'urgent', 'banget', 'ni', 'ka', 'mau', 'ganti', 'nomer', 'hp', 'buat', 'ke', 'rs'];['pliss', 'chat', 'pandawa', 'trs', 'ngurus', 'administrasii', 'tulisannya', 'peningkatan', 'trs', 'semalem', 'soalnyaa', 'urgent', 'bgt', 'ni', 'ka', 'ganti', 'nomer', 'hp', 'rs'];['pliss', 'chat', 'pandawa', 'trs', 'ngurus', 'administrasi', 'tulis', 'tingkat', 'trs', 'semalem', 'soalnyaa', 'urgent', 'bgt', 'ni', 'ka', 'ganti', 'nomer', 'hp', 'rs'];Netral
Ifan Nur ramadhan;5;2025-12-20 16:22:23;"sangat ngebantu;";"sangat ngebantu;";sangat ngebantu;['sangat', 'ngebantu'];['sangat', 'ngebantu'];['ngebantu'];['ngebantu'];Netral
Pengguna Google;5;2026-01-01 14:21:17;"alhamdulillah terbantuu dengan aplikasi jkn;";"alhamdulillah terbantuu dengan aplikasi jkn;";alhamdulillah terbantuu dengan aplikasi jkn;['alhamdulillah', 'terbantuu', 'dengan', 'aplikasi', 'jkn'];['alhamdulillah', 'terbantuu', 'dengan', 'aplikasi', 'jkn'];['alhamdulillah', 'terbantuu', 'aplikasi', 'jkn'];['alhamdulillah', 'terbantuu', 'aplikasi', 'jkn'];Netral
Pengguna Google;5;2026-01-06 15:04:18;"sangat memudahkan;";"sangat memudahkan;";sangat memudahkan;['sangat', 'memudahkan'];['sangat', 'memudahkan'];['memudahkan'];['mudah'];Positif
